Pos,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,2P_3-10,2P%_0-3,3P%,2P%_asst,3P%_asst,Corner3%_3PA
SG,12.2,6.3,1.5,3.5,5.1,1.2,0.6,2.8,0.172,0.6579999999999999,0.371,0.294,0.78,0.16399999999999998
SG,13.4,3.7,1.4,4.2,3.1,1.4,0.4,2.7,0.25,0.7390000000000001,0.366,0.236,0.763,0.276
C,10.4,5.3,4.8,6.3,4.0,0.3,2.0,2.3,0.292,0.8,0.14300000000000002,0.6920000000000001,1.0,0.5710000000000001
PF,15.7,5.1,4.0,10.3,2.1,1.1,2.3,2.6,0.185,0.768,0.401,0.748,0.966,0.129
PF,8.1,1.3,4.1,7.2,2.6,0.8,0.8,2.3,0.206,0.633,0.368,0.68,1.0,0.316
PG,11.1,5.0,1.2,4.2,7.4,1.3,0.2,3.3,0.203,0.5660000000000001,0.375,0.257,0.625,0.199
SG,5.0,1.5,2.2,8.2,3.9,0.9,1.1,1.9,0.063,0.705,0.331,0.732,0.945,0.114
PG,12.1,1.3,1.0,3.7,4.6,1.1,0.2,3.1,0.145,0.61,0.365,0.333,0.774,0.247
PF,5.3,2.7,1.4,8.7,1.9,2.5,2.0,2.2,0.087,0.675,0.335,0.7709999999999999,0.925,0.131
PF,6.1,3.1,1.2,8.3,1.8,2.6,1.5,2.4,0.097,0.6609999999999999,0.34600000000000003,0.769,0.889,0.093
C,3.8,1.9,1.7,9.5,2.0,2.2,3.1,1.9,0.066,0.7140000000000001,0.315,0.778,1.0,0.202
SG,4.1,1.0,0.8,4.7,2.4,1.1,0.3,1.2,0.085,0.75,0.303,0.667,1.0,0.244
SG,4.5,1.1,0.9,4.9,2.5,1.3,0.4,1.1,0.091,0.667,0.32299999999999995,0.591,1.0,0.194
SF,6.0,1.7,2.9,5.8,2.2,1.1,1.7,1.2,0.07400000000000001,0.7390000000000001,0.326,0.633,0.956,0.341
SF,4.3,3.2,1.3,8.4,4.1,1.8,0.6,1.7,0.044,0.648,0.343,0.648,0.852,0.226
SF,4.7,3.4,1.4,8.4,4.4,1.7,0.5,1.9,0.05,0.642,0.293,0.594,0.821,0.184
PF,3.2,2.6,1.1,8.4,3.2,2.2,0.9,1.3,0.03,0.667,0.445,0.818,0.895,0.313
SG,10.7,3.6,2.2,4.4,3.4,1.8,1.2,2.5,0.18600000000000005,0.583,0.299,0.396,0.758,0.17600000000000002
SG,7.8,3.0,0.8,3.6,3.8,1.2,0.3,1.9,0.129,0.7120000000000001,0.452,0.424,0.8,0.171
SG,4.9,1.4,1.1,3.6,1.5,1.0,0.3,1.1,0.065,0.7,0.348,0.769,0.957,0.28
SG,4.8,1.7,1.3,3.5,1.5,0.8,0.3,0.9,0.07,0.7,0.35700000000000004,0.727,0.95,0.277
PF,19.6,11.7,3.2,9.7,4.5,2.0,3.2,3.4,0.172,0.758,0.33,0.578,0.986,0.17
C,7.4,2.2,5.6,11.2,1.9,1.8,1.4,2.1,0.37,0.607,0.0,0.545,0.0,0.0
SG,7.6,2.3,2.0,7.4,4.5,1.5,0.6,3.0,0.08900000000000001,0.677,0.388,0.419,0.904,0.236
C,9.2,2.2,3.7,11.7,1.4,1.5,2.5,3.5,0.153,0.675,0.206,0.738,0.955,0.187
C,9.0,2.5,4.1,10.9,1.3,1.3,2.3,4.2,0.181,0.6920000000000001,0.197,0.7090000000000001,1.0,0.141
PG,5.0,2.2,1.1,3.4,10.7,1.2,0.1,3.5,0.229,0.542,0.231,0.317,0.905,0.165
SF,20.9,9.3,0.9,6.8,7.8,1.4,0.4,3.4,0.248,0.731,0.257,0.27,0.889,0.28600000000000003
