Pos,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,2P_3-10,2P%_0-3,3P%,2P%_asst,3P%_asst,Corner3%_3PA
SG,8.9,7.2,1.0,3.8,4.7,0.5,0.7,3.7,0.057,0.682,0.358,0.281,0.789,0.132
PF,2.4,0.9,2.1,6.8,2.2,1.4,0.7,1.4,0.08900000000000001,0.619,0.358,0.7290000000000001,0.991,0.7659999999999999
SG,11.5,2.6,1.5,5.6,7.1,1.7,1.5,4.8,0.149,0.55,0.0,0.4,0.0,0.2
C,9.0,4.5,2.3,8.5,1.9,1.2,3.5,2.3,0.152,0.677,0.344,0.7090000000000001,1.0,0.14800000000000002
C,16.4,5.1,5.4,14.6,3.3,0.8,1.9,3.2,0.359,0.735,0.35200000000000004,0.588,1.0,0.14300000000000002
SF,9.9,0.8,0.9,6.4,4.2,2.6,0.6,2.6,0.152,0.545,0.336,0.412,0.7829999999999999,0.153
SG,9.8,4.9,0.4,4.6,8.8,2.5,0.4,3.0,0.113,0.5489999999999999,0.39,0.185,0.6920000000000001,0.158
C,9.5,4.0,4.6,10.8,3.5,1.4,0.7,2.6,0.315,0.723,0.2,0.551,1.0,0.2
C,9.6,3.7,4.5,11.0,3.5,1.5,0.8,2.5,0.314,0.705,0.14300000000000002,0.556,1.0,0.14300000000000002
C,18.1,4.1,3.4,13.0,5.4,1.3,1.1,2.1,0.27,0.675,0.339,0.7190000000000001,0.99,0.031
C,10.4,5.3,3.1,9.1,3.1,1.6,1.1,3.7,0.188,0.777,0.313,0.767,1.0,0.163
PG,11.5,6.7,1.0,5.0,7.4,1.3,0.8,3.2,0.111,0.597,0.381,0.247,0.489,0.053
SG,12.4,3.0,1.1,5.6,3.3,1.5,0.7,2.1,0.188,0.584,0.406,0.595,0.951,0.248
SG,8.4,5.0,0.9,5.5,3.8,2.0,0.3,2.9,0.136,0.579,0.067,0.615,0.0,0.267
PG,9.2,4.8,0.8,4.3,6.3,2.2,0.5,2.7,0.235,0.6920000000000001,0.363,0.4320000000000001,0.892,0.049
SF,17.0,4.5,1.5,4.7,2.2,1.7,0.7,1.9,0.171,0.759,0.403,0.609,0.901,0.412
PF,10.2,3.9,1.7,7.3,3.5,1.5,1.3,2.6,0.25,0.66,0.374,0.7859999999999999,0.965,0.274
PG,10.1,3.2,0.0,4.9,6.5,4.1,0.8,6.1,0.184,0.7140000000000001,0.16699999999999998,0.2,0.25,0.125
PG,24.1,8.6,2.3,7.9,9.1,2.1,0.5,5.8,0.142,0.64,0.258,0.235,0.655,0.192
PG,12.0,3.7,0.8,5.8,5.0,1.4,0.2,3.1,0.106,0.529,0.354,0.263,0.759,0.141
SG,9.6,6.0,1.0,5.4,6.9,1.3,1.7,2.5,0.192,0.6,0.366,0.385,0.81,0.14800000000000002
C,16.5,5.7,6.1,15.4,1.9,0.6,4.7,2.8,0.259,0.74,0.5710000000000001,0.6459999999999999,1.0,0.0
SF,16.2,6.7,1.7,5.2,5.0,1.1,1.3,3.3,0.212,0.6859999999999999,0.332,0.393,0.775,0.138
SF,16.4,6.6,1.5,5.5,4.9,0.9,1.1,3.4,0.214,0.685,0.331,0.365,0.736,0.135
SF,15.3,7.2,2.1,4.4,5.1,1.9,2.0,3.0,0.202,0.6890000000000001,0.339,0.5,0.95,0.153
PF,5.3,2.5,2.7,5.5,3.1,1.4,1.7,2.3,0.19,0.6609999999999999,0.25,0.619,0.875,0.4270000000000001
PF,8.3,3.4,6.2,10.4,2.1,0.3,2.1,1.3,0.265,0.857,0.0,0.579,0.0,0.5
PF,2.8,1.4,2.8,7.5,3.2,1.5,1.2,1.2,0.048,0.5529999999999999,0.258,0.654,0.96,0.433
PG,15.7,8.6,0.8,4.3,9.3,1.1,0.3,4.6,0.183,0.575,0.35200000000000004,0.207,0.64,0.229
PF,4.8,2.5,1.3,6.6,2.6,1.6,1.3,1.4,0.195,0.838,0.359,0.667,0.982,0.365
PF,5.8,3.1,0.9,5.8,2.5,1.6,1.4,1.6,0.224,0.852,0.376,0.64,0.977,0.316
PF,2.6,1.0,2.1,8.4,2.7,1.4,1.1,1.1,0.08800000000000001,0.8,0.308,0.769,1.0,0.513
C,10.9,4.2,5.0,10.9,3.4,2.7,4.4,2.6,0.136,0.797,0.0,0.813,0.0,0.0
PF,24.0,12.3,4.4,6.0,3.5,1.1,0.6,4.1,0.183,0.6679999999999999,0.429,0.755,1.0,0.0
SG,14.1,3.7,2.2,7.9,6.1,1.0,0.7,3.3,0.3720000000000001,0.606,0.222,0.5,0.833,0.29600000000000004
PF,13.7,9.0,3.9,10.6,2.2,1.3,2.0,3.1,0.234,0.7929999999999999,0.386,0.7140000000000001,0.926,0.279
PG,8.7,3.1,2.2,6.5,7.5,2.6,0.7,2.2,0.265,0.645,0.37,0.308,0.809,0.173
PF,11.5,2.2,2.8,6.7,3.5,2.8,0.7,3.1,0.25,0.601,0.35600000000000004,0.568,0.937,0.423
PG,15.0,12.3,0.7,4.9,12.3,1.4,0.2,6.4,0.16699999999999998,0.596,0.361,0.161,0.298,0.033
C,15.1,6.7,6.0,9.4,3.3,1.5,0.9,2.8,0.242,0.659,0.24,0.7040000000000001,0.944,0.053
C,15.9,4.2,4.0,10.6,1.3,1.5,1.1,2.2,0.361,0.622,0.0,0.7559999999999999,0.0,0.0
C,13.7,5.9,7.0,12.3,2.9,0.6,2.4,2.2,0.229,0.684,0.0,0.725,0.0,0.0
