Pos,MPG,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,2P_3-10,2P_10-16,2P_16-3P,2P%_0-3,2P%_3-10,2P%_10-16,2P%_16-3P,3P%,2P%_asst,3P%_asst,Corner3%_3PA,Corner3%
SG,33.929824561403514,13.7,6.1,1.5,7.5,2.9,1.6,0.5,3.1,4.2,110.0,108,0.194,0.09,0.065,0.703,0.407,0.488,0.362,0.382,0.477,0.884,0.269,0.484
SF,14.75,7.1,2.4,1.8,9.0,3.0,1.7,0.4,2.5,3.2,97.0,103,0.125,0.063,0.055,0.569,0.313,0.375,0.14300000000000002,0.324,0.471,0.909,0.324,0.4320000000000001
SF,25.82608695652174,11.6,3.6,2.0,8.1,4.7,2.2,0.2,2.1,3.5,109.0,114,0.195,0.108,0.138,0.68,0.355,0.343,0.36,0.341,0.528,0.967,0.263,0.447
PG,17.92982456140351,12.7,3.5,1.0,5.3,8.9,1.0,0.2,3.1,3.5,114.0,114,0.258,0.139,0.116,0.623,0.5,0.5,0.4,0.358,0.239,0.8140000000000001,0.233,0.35700000000000004
C,24.93478260869565,13.3,4.7,4.0,9.5,3.4,1.0,2.0,2.2,4.2,127.0,114,0.134,0.093,0.14400000000000002,0.785,0.518,0.462,0.4,0.407,0.772,0.946,0.11,0.4
SG,23.58620689655172,8.0,1.5,0.9,3.9,3.0,1.8,0.2,1.4,4.0,105.0,115,0.071,0.076,0.196,0.6940000000000001,0.188,0.412,0.409,0.333,0.7170000000000001,0.973,0.27,0.3
PG,15.757575757575758,12.5,2.7,1.5,3.2,7.7,1.5,0.2,2.0,3.1,117.0,113,0.11,0.124,0.163,0.5489999999999999,0.348,0.5770000000000001,0.324,0.4270000000000001,0.32299999999999995,0.8440000000000001,0.227,0.471
PG,13.16,13.1,2.7,2.2,2.9,7.8,1.0,0.1,1.8,3.1,119.0,114,0.118,0.134,0.197,0.688,0.2,0.588,0.32,0.421,0.395,0.938,0.132,0.8
SF,26.57575757575757,12.8,7.2,1.3,6.4,5.2,1.7,0.5,2.5,3.5,112.0,114,0.16399999999999998,0.13,0.113,0.565,0.341,0.42,0.379,0.385,0.424,0.6809999999999999,0.18600000000000005,0.464
SF,28.95833333333333,13.0,7.7,1.3,6.5,5.2,1.7,0.6,2.6,3.7,110.0,114,0.168,0.128,0.118,0.516,0.34700000000000003,0.39,0.408,0.375,0.475,0.726,0.17,0.395
SG,20.222222222222218,12.0,5.5,1.5,6.0,5.1,1.6,0.0,2.0,2.8,120.0,111,0.15,0.138,0.096,0.8079999999999999,0.32,0.522,0.25,0.416,0.244,0.563,0.234,0.611
SF,33.77586206896552,15.9,13.1,2.6,7.0,8.7,2.6,0.8,3.2,2.0,123.0,108,0.257,0.15,0.095,0.655,0.426,0.386,0.278,0.244,0.402,0.552,0.193,0.217
SG,25.53623188405797,7.2,2.8,1.0,2.8,3.0,1.5,0.4,1.7,3.5,115.0,110,0.071,0.091,0.112,0.6509999999999999,0.528,0.391,0.421,0.385,0.7659999999999999,0.924,0.397,0.389
C,32.7948717948718,14.0,3.8,6.1,13.4,1.7,1.2,2.6,2.3,3.7,124.0,105,0.232,0.008,0.0,0.722,0.333,0.333,0.0,0.0,0.8029999999999999,0.0,0.0,0.0
SF,12.083333333333336,5.3,6.8,1.9,7.0,4.0,1.3,0.8,2.8,5.2,103.0,113,0.16699999999999998,0.091,0.0,0.563,0.364,0.667,0.0,0.242,0.647,0.875,0.364,0.5
PG,16.293103448275858,4.9,1.4,1.5,4.4,4.2,2.4,0.9,1.6,4.3,114.0,111,0.08199999999999999,0.062,0.103,0.486,0.2,0.4,0.44,0.425,0.436,0.903,0.342,0.46
PF,14.6,5.4,1.5,1.0,5.6,2.6,1.2,1.3,1.8,4.8,94.0,116,0.08199999999999999,0.102,0.07200000000000001,0.417,0.56,0.419,0.409,0.302,0.457,0.8690000000000001,0.188,0.342
C,29.209302325581394,12.0,5.8,5.3,10.2,2.0,1.3,1.4,2.8,6.2,115.0,108,0.204,0.096,0.044,0.6940000000000001,0.28600000000000003,0.515,0.267,0.207,0.695,1.0,0.414,0.16699999999999998
SG,18.511111111111113,10.8,5.6,2.7,5.9,6.4,2.9,1.3,3.0,5.1,109.0,107,0.277,0.077,0.023,0.586,0.431,0.35,0.0,0.293,0.483,0.955,0.307,0.261
PG,18.359375,6.9,3.8,0.7,4.3,5.0,2.8,0.7,2.1,4.0,107.0,106,0.134,0.08199999999999999,0.045,0.684,0.205,0.16699999999999998,0.231,0.333,0.575,0.875,0.325,0.308
C,20.314814814814813,13.1,2.9,3.7,10.1,3.1,2.1,2.7,1.7,5.3,117.0,108,0.238,0.093,0.106,0.787,0.389,0.28600000000000003,0.188,0.0,0.789,0.0,0.0,0.0
C,22.92682926829268,13.1,2.9,3.6,9.4,3.1,2.3,2.5,1.8,5.2,114.0,109,0.249,0.101,0.117,0.774,0.391,0.308,0.16699999999999998,0.0,0.764,0.0,0.0,0.0
C,12.076923076923075,13.5,2.8,4.0,14.5,3.1,1.2,3.4,1.5,5.8,135.0,105,0.17800000000000002,0.044,0.044,0.8440000000000001,0.375,0.0,0.5,0.0,0.903,0.0,0.0,0.0
PF,20.97142857142857,4.0,1.5,0.7,8.6,2.5,1.0,0.8,2.2,5.1,99.0,110,0.16399999999999998,0.038,0.038,0.722,0.5329999999999999,0.28600000000000003,0.857,0.306,0.514,1.0,0.256,0.387
PG,14.321428571428573,8.0,0.6,1.1,5.2,9.8,2.5,0.5,3.8,4.3,103.0,111,0.136,0.071,0.043,0.485,0.368,0.4,0.16699999999999998,0.375,0.214,0.852,0.111,0.625
