Pos,MPG,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,2P_3-10,2P_10-16,2P_16-3P,2P%_0-3,2P%_3-10,2P%_10-16,2P%_16-3P,3P%,2P%_asst,3P%_asst,Corner3%_3PA,Corner3%
C,16.12727272727273,8.9,4.4,3.9,6.9,1.8,1.4,2.1,1.5,7.8,138.0,113,0.107,0.006,0.022,0.759,0.421,0.0,0.25,0.222,0.8240000000000001,1.0,0.778,0.28600000000000003
SF,23.305084745762716,7.7,4.4,2.3,5.9,2.2,2.1,1.3,1.1,4.6,126.0,109,0.112,0.011,0.009000000000000001,0.737,0.487,0.25,0.333,0.28,0.7759999999999999,0.973,0.5379999999999999,0.225
PG,18.953846153846158,11.6,2.2,0.3,3.6,10.8,2.2,0.2,2.1,1.7,116.0,112,0.242,0.198,0.096,0.653,0.423,0.435,0.488,0.379,0.387,0.745,0.177,0.5
C,22.035714285714285,11.0,4.7,5.4,16.1,4.0,0.7,2.0,2.8,4.4,129.0,104,0.15,0.006999999999999999,0.006999999999999999,0.7290000000000001,0.349,0.0,0.5,0.0,0.743,0.0,0.0,0.0
PG,24.430555555555557,7.0,1.9,1.2,4.0,6.9,1.5,0.6,2.2,3.7,110.0,114,0.201,0.131,0.124,0.677,0.41,0.315,0.392,0.35200000000000004,0.217,0.893,0.245,0.436
C,19.923076923076927,11.2,5.5,2.1,8.6,4.6,0.9,0.6,2.3,4.6,110.0,112,0.195,0.065,0.042,0.6,0.55,0.35,0.231,0.331,0.68,1.0,0.056,0.429
C,16.948275862068964,16.7,4.9,8.0,13.2,2.7,1.1,2.0,2.7,4.9,123.0,104,0.27,0.017,0.032,0.639,0.479,0.16699999999999998,0.455,0.14300000000000002,0.47,1.0,0.14300000000000002,0.0
SG,32.92857142857143,8.5,4.0,0.5,4.7,6.1,0.6,0.3,2.3,3.5,117.0,117,0.117,0.111,0.111,0.721,0.425,0.342,0.447,0.399,0.474,0.8079999999999999,0.18600000000000005,0.353
PF,11.24,8.1,2.5,2.5,9.3,2.5,0.4,1.1,2.8,6.5,85.0,113,0.333,0.045,0.106,0.5,0.364,0.333,0.14300000000000002,0.25,0.706,1.0,0.3,0.333
PF,13.333333333333336,11.3,2.8,2.8,8.1,3.1,0.0,0.9,2.2,5.6,91.0,115,0.302,0.057,0.094,0.5,0.375,0.333,0.0,0.294,0.615,1.0,0.294,0.4
PF,25.540540540540537,5.0,2.4,2.9,7.1,2.3,0.6,2.1,1.5,4.5,122.0,112,0.066,0.027000000000000003,0.01,0.669,0.471,0.35700000000000004,0.4,0.373,0.831,1.0,0.379,0.38
SG,18.48,3.8,3.6,0.4,3.9,7.3,1.1,0.3,4.0,4.2,98.0,117,0.066,0.078,0.006,0.364,0.273,0.5379999999999999,0.0,0.344,0.14300000000000002,0.5329999999999999,0.107,0.35700000000000004
SG,15.0625,4.4,2.6,0.6,3.4,6.3,1.0,0.4,3.2,4.0,89.0,119,0.07,0.105,0.012,0.5,0.16699999999999998,0.556,0.0,0.297,0.111,0.579,0.156,0.3
SF,17.93846153846154,8.4,4.2,1.2,6.5,2.5,1.0,1.2,1.9,4.4,97.0,114,0.125,0.08199999999999999,0.102,0.564,0.26,0.333,0.268,0.327,0.506,0.923,0.241,0.271
SG,21.652777777777782,6.4,3.2,0.6,4.7,2.5,1.3,0.5,1.8,3.0,111.0,112,0.123,0.078,0.057,0.677,0.377,0.4320000000000001,0.375,0.402,0.727,0.972,0.213,0.487
C,15.527777777777779,6.8,2.4,1.9,5.3,2.8,0.9,2.2,1.2,4.7,112.0,111,0.102,0.021,0.011,0.741,0.474,0.5,0.0,0.287,0.863,1.0,0.213,0.174
SF,16.551724137931036,2.7,2.0,0.7,5.1,3.2,1.2,0.6,2.3,3.7,113.0,106,0.017,0.031,0.106,0.455,0.2,0.556,0.516,0.418,0.778,0.97,0.236,0.429
PF,14.553191489361698,6.0,2.6,1.7,7.7,3.5,1.7,0.3,3.2,6.2,101.0,109,0.124,0.011,0.006,0.645,0.273,0.0,0.0,0.3670000000000001,0.804,0.97,0.17800000000000002,0.438
PF,25.01639344262295,12.3,4.8,1.6,6.9,2.5,0.9,0.8,2.8,3.9,103.0,109,0.226,0.078,0.096,0.7829999999999999,0.411,0.385,0.344,0.316,0.605,0.93,0.232,0.54
C,17.181818181818183,11.3,2.8,5.5,8.7,3.5,0.6,2.6,2.5,7.5,121.0,113,0.279,0.177,0.08199999999999999,0.6729999999999999,0.463,0.615,0.5,0.231,0.731,1.0,0.154,0.0
SG,28.06521739130435,12.1,4.1,0.9,6.6,3.6,2.1,0.8,1.9,3.9,108.0,107,0.146,0.146,0.184,0.624,0.457,0.5429999999999999,0.398,0.335,0.368,0.755,0.165,0.34600000000000003
SG,11.5625,6.9,3.3,2.0,3.4,1.7,1.0,1.0,1.4,4.3,95.0,111,0.275,0.038,0.013,0.556,0.273,0.667,0.0,0.185,0.478,1.0,0.444,0.25
SG,34.75,16.5,7.7,0.9,5.7,5.9,2.0,0.6,4.8,3.0,106.0,110,0.083,0.048,0.093,0.623,0.182,0.228,0.405,0.38,0.406,0.5489999999999999,0.16699999999999998,0.481
SF,21.956521739130434,9.8,2.9,1.6,3.7,1.4,1.6,0.9,2.2,4.3,102.0,114,0.14,0.039,0.067,0.635,0.28,0.5710000000000001,0.5,0.333,0.789,0.917,0.208,0.333
SG,14.375,4.9,1.0,1.0,3.5,1.7,2.5,0.8,1.5,4.6,116.0,111,0.134,0.024,0.098,0.7140000000000001,0.545,0.0,0.375,0.447,0.421,0.857,0.383,0.444
SG,29.04081632653061,9.1,4.2,1.1,7.0,4.5,1.7,0.2,2.3,3.9,108.0,114,0.151,0.139,0.098,0.662,0.403,0.465,0.3,0.35600000000000004,0.7659999999999999,0.953,0.218,0.385
C,17.636363636363637,12.6,5.1,4.8,10.7,2.4,1.1,2.3,2.7,6.2,116.0,111,0.197,0.056,0.006,0.695,0.4920000000000001,0.333,0.5,0.271,0.727,1.0,0.458,0.37
C,18.625,12.8,5.1,4.3,10.1,2.6,1.3,2.1,2.4,5.8,115.0,112,0.185,0.054000000000000006,0.008,0.693,0.521,0.35700000000000004,0.5,0.25,0.7340000000000001,1.0,0.464,0.34600000000000003
C,15.0,12.1,5.2,6.7,12.9,1.7,0.6,3.2,3.5,7.3,119.0,108,0.254,0.068,0.0,0.703,0.4,0.25,0.0,0.667,0.6970000000000001,1.0,0.333,1.0
SF,32.421052631578945,20.7,10.3,1.4,8.9,7.2,2.6,0.8,3.8,2.9,117.0,104,0.174,0.226,0.147,0.698,0.452,0.445,0.446,0.378,0.284,0.626,0.052000000000000005,0.412
C,20.274509803921568,5.0,1.3,1.4,10.9,2.6,0.7,0.7,1.8,5.1,114.0,110,0.141,0.06,0.017,0.818,0.515,0.14300000000000002,0.5,0.414,0.833,0.943,0.14800000000000002,0.368
SG,29.555555555555557,18.2,7.0,1.7,5.0,7.1,1.9,0.4,4.2,2.9,102.0,110,0.253,0.16,0.048,0.606,0.341,0.4270000000000001,0.343,0.364,0.247,0.463,0.086,0.368
PG,37.48484848484848,13.0,10.0,0.6,4.8,10.2,1.3,0.4,3.7,2.2,126.0,117,0.079,0.062,0.064,0.618,0.311,0.405,0.471,0.401,0.099,0.289,0.036000000000000004,0.417
PF,11.9375,7.7,3.7,2.6,6.4,1.8,1.1,1.2,1.2,6.0,108.0,116,0.166,0.033,0.013,0.667,0.4,0.2,0.0,0.237,0.6859999999999999,1.0,0.407,0.16699999999999998
C,13.1,11.9,2.2,5.1,6.9,3.7,2.2,1.1,2.2,6.2,94.0,112,0.253,0.063,0.127,0.7,0.2,0.4,0.1,0.071,0.5,1.0,0.429,0.16699999999999998
C,26.720588235294123,8.7,3.8,1.5,6.4,2.5,1.2,4.1,1.8,4.1,109.0,100,0.183,0.091,0.015,0.6970000000000001,0.423,0.459,0.4,0.314,0.6679999999999999,0.99,0.215,0.329
C,14.515151515151516,9.2,2.5,2.7,5.0,2.1,0.5,2.1,3.0,4.6,101.0,105,0.35100000000000003,0.037000000000000005,0.006999999999999999,0.684,0.486,0.636,1.0,0.333,0.58,1.0,0.524,0.364
PF,31.785714285714285,9.2,6.0,1.5,13.5,4.9,0.9,0.5,3.8,2.5,112.0,113,0.116,0.111,0.103,0.66,0.393,0.605,0.467,0.374,0.586,0.932,0.141,0.455
PG,36.17241379310345,7.6,7.8,0.7,5.9,9.8,1.9,0.6,4.0,4.3,116.0,106,0.093,0.044,0.07,0.643,0.34700000000000003,0.4,0.35700000000000004,0.35200000000000004,0.235,0.5429999999999999,0.08800000000000001,0.317
SF,18.148936170212764,6.0,4.5,1.6,5.4,1.6,1.0,0.4,2.1,5.9,114.0,112,0.08199999999999999,0.022,0.022,0.5870000000000001,0.273,0.333,0.5,0.388,0.6,1.0,0.406,0.446
PF,20.17460317460317,6.6,1.7,2.7,10.9,2.6,1.1,1.1,1.5,3.7,113.0,113,0.108,0.07,0.067,0.637,0.27,0.542,0.304,0.387,0.75,1.0,0.274,0.457
C,21.263157894736842,10.6,6.5,4.5,8.1,2.8,1.8,2.5,2.6,6.6,110.0,112,0.35200000000000004,0.029,0.014,0.6829999999999999,0.35100000000000003,0.333,0.667,0.192,0.677,1.0,0.154,0.25
C,12.933333333333335,8.2,7.0,3.4,7.2,2.7,1.6,2.5,2.9,6.5,111.0,110,0.223,0.057,0.057,0.7340000000000001,0.349,0.455,0.364,0.344,0.7609999999999999,0.955,0.469,0.333
PF,29.84,8.8,4.9,1.9,8.2,2.4,1.4,0.7,2.6,3.1,108.0,110,0.149,0.027000000000000003,0.014,0.648,0.341,0.313,0.25,0.344,0.535,0.991,0.142,0.422
SF,17.61111111111111,7.4,3.3,1.6,4.4,3.6,1.9,1.1,2.4,5.1,113.0,113,0.06,0.0,0.107,0.424,0.2,0.0,0.222,0.541,0.588,1.0,0.189,0.5710000000000001
SF,18.8125,7.2,3.6,2.1,6.7,5.3,2.2,0.5,2.4,4.3,104.0,112,0.101,0.019,0.068,0.6809999999999999,0.238,0.0,0.28600000000000003,0.234,0.535,0.944,0.364,0.214
SF,15.967741935483868,8.0,2.9,1.1,7.9,2.2,0.7,0.8,1.9,4.8,100.0,114,0.16,0.08800000000000001,0.039,0.727,0.414,0.625,0.0,0.26,0.696,0.84,0.396,0.316
SG,12.611111111111109,2.1,7.0,1.2,3.7,2.1,1.6,0.2,1.6,6.6,133.0,118,0.054000000000000006,0.054000000000000006,0.054000000000000006,1.0,0.333,0.333,0.667,0.413,0.6,0.947,0.239,0.455
SG,24.402985074626866,3.5,1.9,0.6,4.0,2.6,1.1,0.3,1.2,2.9,109.0,107,0.081,0.052000000000000005,0.033,0.691,0.235,0.409,0.28600000000000003,0.364,0.61,0.935,0.276,0.415
SF,24.540540540540537,4.8,0.9,1.0,3.5,4.1,2.0,0.2,1.5,3.1,105.0,108,0.142,0.062,0.043,0.5489999999999999,0.348,0.4,0.5710000000000001,0.324,0.568,1.0,0.479,0.324
SG,36.51428571428571,15.7,3.4,0.9,4.7,5.8,1.0,0.8,2.4,3.4,111.0,118,0.161,0.15,0.139,0.597,0.381,0.49,0.503,0.379,0.223,0.665,0.146,0.547
PG,18.676056338028168,14.4,1.5,1.4,5.5,13.0,2.0,0.4,3.7,2.7,112.0,109,0.243,0.282,0.107,0.604,0.57,0.483,0.295,0.294,0.232,1.0,0.353,0.16699999999999998
SF,18.3125,7.9,2.9,2.6,8.5,2.2,1.4,0.5,1.9,6.2,112.0,113,0.214,0.071,0.014,0.6,0.4,0.4,1.0,0.375,0.5,1.0,0.583,0.429
PF,19.88405797101449,8.9,2.1,0.9,5.2,2.8,0.4,0.2,1.5,4.1,117.0,113,0.086,0.038,0.08,0.6809999999999999,0.511,0.28600000000000003,0.295,0.435,0.856,1.0,0.241,0.4370000000000001
C,16.61764705882353,12.6,3.5,5.3,11.2,1.6,1.5,4.0,2.3,6.7,124.0,101,0.239,0.049,0.006999999999999999,0.743,0.384,0.467,0.5,0.5,0.7190000000000001,0.667,0.0,0.0
SG,15.553571428571427,5.0,1.8,1.6,6.6,2.0,1.4,0.4,1.3,4.0,100.0,109,0.232,0.066,0.006,0.6759999999999999,0.429,0.417,0.0,0.27,0.7290000000000001,1.0,0.472,0.214
SF,14.825,8.7,2.5,3.0,6.2,1.1,1.9,0.7,2.1,5.9,99.0,115,0.181,0.041,0.035,0.6940000000000001,0.387,0.5710000000000001,0.0,0.215,0.6779999999999999,1.0,0.446,0.276
PG,19.666666666666668,8.0,3.1,0.6,3.3,9.8,2.7,0.3,2.4,2.4,121.0,113,0.185,0.017,0.006,0.6459999999999999,0.394,1.0,0.0,0.382,0.328,0.759,0.118,0.444
SF,22.80281690140845,2.7,1.9,0.6,3.9,1.7,1.3,0.5,1.4,4.4,118.0,113,0.031,0.004,0.0,0.743,0.235,1.0,0.0,0.4,0.8690000000000001,0.967,0.294,0.466
SG,21.18918918918919,14.4,6.6,1.1,6.4,5.6,1.3,1.0,2.6,4.4,105.0,116,0.16899999999999998,0.14800000000000002,0.145,0.62,0.355,0.333,0.377,0.35700000000000004,0.394,0.6890000000000001,0.183,0.478
SG,22.551724137931036,15.1,5.9,1.2,6.2,5.9,1.4,1.1,2.7,4.4,106.0,116,0.17,0.14800000000000002,0.161,0.6779999999999999,0.35200000000000004,0.319,0.373,0.377,0.409,0.7,0.17,0.5
C,17.366666666666667,5.2,3.2,1.7,6.3,3.6,1.5,1.0,2.0,5.5,111.0,112,0.099,0.065,0.046,0.755,0.406,0.476,0.467,0.335,0.612,1.0,0.233,0.313
PG,19.45,10.4,4.8,1.7,7.1,7.0,3.1,0.8,3.4,4.4,102.0,107,0.177,0.077,0.122,0.627,0.394,0.32299999999999995,0.28600000000000003,0.28600000000000003,0.529,0.875,0.16399999999999998,0.391
SF,29.887096774193548,14.6,5.6,1.1,8.3,6.5,1.3,0.2,3.4,3.5,118.0,104,0.129,0.199,0.172,0.7,0.451,0.505,0.552,0.415,0.377,0.701,0.15,0.472
PG,22.5,6.3,3.6,0.7,2.8,3.8,1.7,0.2,1.7,3.4,115.0,116,0.042,0.04,0.127,0.6859999999999999,0.52,0.375,0.447,0.382,0.51,0.779,0.208,0.452
PF,24.31372549019608,12.5,5.6,3.9,7.8,3.3,1.8,1.2,2.8,6.0,116.0,110,0.247,0.098,0.032,0.6709999999999999,0.315,0.419,0.35700000000000004,0.435,0.631,1.0,0.274,0.441
SG,20.125,8.6,3.9,0.9,4.4,6.3,1.2,0.4,2.8,5.5,118.0,112,0.155,0.108,0.029,0.672,0.442,0.433,0.375,0.43,0.382,0.879,0.207,0.429
SG,34.26086956521739,17.9,6.6,1.1,5.2,6.1,1.4,0.3,3.8,3.5,110.0,111,0.229,0.134,0.115,0.626,0.414,0.489,0.465,0.366,0.217,0.595,0.127,0.4
SF,10.181818181818182,5.6,1.7,3.0,1.3,1.7,1.7,0.0,0.9,7.3,115.0,114,0.0,0.0,0.036000000000000004,0.5,0.0,0.0,0.0,0.4,0.667,1.0,0.5329999999999999,0.375
SG,21.254545454545454,12.2,4.3,1.2,5.6,4.9,1.1,0.7,3.3,3.2,102.0,115,0.203,0.061,0.031,0.6709999999999999,0.424,0.4,0.4,0.284,0.526,0.862,0.162,0.273
SG,18.214285714285715,12.2,2.0,1.4,4.5,3.5,1.5,0.5,1.8,3.6,104.0,114,0.243,0.13,0.078,0.685,0.443,0.263,0.324,0.377,0.455,0.952,0.329,0.382
PG,30.95522388059701,17.1,6.9,1.1,4.7,11.0,1.3,0.4,5.0,2.5,109.0,113,0.248,0.126,0.039,0.606,0.409,0.466,0.324,0.335,0.282,0.55,0.101,0.5
SF,31.225806451612907,11.5,5.5,1.5,6.3,2.1,1.2,0.7,2.4,4.5,111.0,113,0.128,0.172,0.181,0.583,0.35600000000000004,0.504,0.435,0.408,0.366,0.789,0.221,0.442
SF,32.25581395348837,13.1,7.0,1.7,6.5,2.1,1.2,0.6,2.6,4.5,113.0,115,0.138,0.168,0.189,0.561,0.341,0.486,0.425,0.439,0.29100000000000004,0.767,0.189,0.5
PF,28.894736842105264,7.7,1.9,0.9,5.8,2.3,1.1,1.1,2.1,4.5,101.0,109,0.092,0.184,0.155,0.667,0.438,0.563,0.481,0.31,0.625,0.885,0.321,0.333
PF,20.46551724137931,9.5,3.5,1.6,7.3,3.2,1.3,0.7,3.1,5.5,105.0,112,0.151,0.127,0.031,0.674,0.42,0.328,0.5,0.386,0.635,0.977,0.298,0.382
PF,22.454545454545453,10.0,3.9,1.2,7.4,3.4,1.3,0.5,3.5,5.2,104.0,113,0.157,0.129,0.033,0.6709999999999999,0.443,0.32,0.462,0.397,0.63,1.0,0.28600000000000003,0.426
PF,14.214285714285715,7.2,1.4,3.8,6.9,1.9,1.2,1.4,1.4,6.9,110.0,107,0.116,0.116,0.014,0.6920000000000001,0.25,0.375,1.0,0.333,0.667,0.846,0.359,0.214
PG,22.410958904109588,11.9,2.7,0.7,3.4,7.7,1.7,0.5,1.6,2.2,118.0,114,0.187,0.171,0.145,0.716,0.33,0.381,0.5489999999999999,0.378,0.369,0.862,0.366,0.429
PG,15.74074074074074,13.7,4.8,1.0,6.2,6.6,1.4,0.6,4.4,4.1,103.0,111,0.18,0.223,0.064,0.586,0.441,0.466,0.476,0.345,0.273,0.7,0.276,0.292
PG,25.560606060606066,14.9,3.2,2.0,8.9,7.7,3.1,0.5,3.5,4.1,105.0,110,0.171,0.199,0.171,0.591,0.33,0.496,0.431,0.369,0.281,0.976,0.369,0.39
PG,32.271186440677965,14.8,4.8,1.2,5.0,7.4,1.7,0.4,3.3,2.6,112.0,113,0.135,0.139,0.17600000000000002,0.667,0.43,0.468,0.471,0.34600000000000003,0.47,0.67,0.093,0.4
SF,12.175,9.1,5.8,2.0,6.3,4.2,1.5,0.1,3.5,2.9,96.0,111,0.145,0.041,0.0,0.5479999999999999,0.32,0.429,0.0,0.244,0.556,0.895,0.141,0.273
C,12.170212765957446,3.9,1.9,1.4,7.8,3.4,0.8,1.0,1.4,4.9,114.0,110,0.021,0.069,0.016,0.654,0.25,0.154,1.0,0.378,0.7829999999999999,1.0,0.168,0.375
SF,22.589285714285715,4.7,2.7,0.7,3.4,4.1,1.6,0.2,2.4,3.4,110.0,116,0.094,0.017,0.012,0.5710000000000001,0.184,0.28600000000000003,0.4,0.404,0.529,0.939,0.218,0.419
SF,15.763636363636365,7.6,3.7,0.8,4.8,2.1,1.3,1.1,2.4,4.4,107.0,111,0.179,0.049,0.03,0.716,0.404,0.462,0.25,0.375,0.653,0.979,0.328,0.429
PF,26.285714285714285,9.0,2.4,3.5,10.0,4.1,1.9,0.7,2.0,3.0,122.0,113,0.109,0.07400000000000001,0.053,0.753,0.447,0.375,0.522,0.35200000000000004,0.613,0.982,0.27,0.419
PG,24.0,7.5,5.3,0.9,4.6,9.1,2.4,0.4,4.4,3.5,106.0,114,0.077,0.094,0.083,0.69,0.257,0.349,0.5,0.317,0.205,0.539,0.108,0.154
PG,23.777777777777782,6.7,4.8,0.9,5.0,10.1,2.2,0.4,4.1,3.4,108.0,113,0.071,0.085,0.049,0.667,0.3,0.333,0.643,0.29600000000000004,0.194,0.511,0.113,0.222
PG,24.4,8.8,6.2,0.9,3.7,7.2,2.8,0.4,5.0,3.7,104.0,115,0.087,0.11,0.139,0.735,0.2,0.368,0.417,0.358,0.222,0.586,0.099,0.0
PG,12.370370370370368,9.7,3.4,0.8,3.6,6.9,1.7,0.4,3.4,3.6,109.0,111,0.158,0.099,0.041,0.647,0.343,0.273,0.556,0.386,0.284,0.8240000000000001,0.125,0.545
PF,13.984848484848484,5.1,1.3,0.8,5.9,2.3,0.9,0.3,1.6,4.0,113.0,112,0.134,0.05,0.012,0.765,0.442,0.375,0.0,0.4,0.412,0.989,0.369,0.458
C,18.475409836065573,11.5,4.6,3.9,9.0,2.5,2.5,3.9,2.8,7.2,127.0,102,0.18600000000000005,0.134,0.056,0.861,0.54,0.278,0.267,0.333,0.831,1.0,0.333,1.0
SG,10.066666666666666,8.3,5.2,0.9,3.1,5.8,0.9,0.3,0.9,3.4,109.0,117,0.17,0.038,0.019,0.6,0.556,0.5,1.0,0.115,0.563,0.667,0.308,0.125
PG,20.82456140350877,8.0,2.4,0.9,4.0,7.1,2.2,0.7,2.9,5.8,103.0,113,0.078,0.117,0.192,0.5670000000000001,0.34600000000000003,0.282,0.453,0.321,0.264,0.795,0.182,0.48
PG,29.28358208955224,13.0,2.5,0.5,4.0,5.5,1.4,0.4,2.8,3.8,103.0,112,0.141,0.109,0.12,0.636,0.38,0.48,0.455,0.35,0.371,0.752,0.228,0.337
SF,13.4,7.6,4.8,1.4,6.5,1.4,1.9,2.1,1.4,5.7,120.0,107,0.183,0.014,0.0,0.655,0.462,0.0,0.0,0.429,0.64,1.0,0.464,0.462
SF,28.859154929577464,2.9,1.3,0.6,8.6,4.3,1.4,0.8,1.4,4.8,117.0,109,0.101,0.008,0.019,0.635,0.4320000000000001,0.0,0.429,0.377,0.848,1.0,0.32,0.436
C,10.79310344827586,9.0,3.1,5.3,12.7,7.9,1.1,3.7,3.1,5.7,117.0,104,0.071,0.118,0.118,0.6559999999999999,0.667,0.4,0.6,0.259,0.6859999999999999,0.857,0.14800000000000002,0.0
PF,14.652173913043477,3.3,1.5,1.2,5.7,1.8,1.0,0.2,0.9,3.8,116.0,111,0.14300000000000002,0.02,0.051,0.556,0.393,0.0,0.6,0.378,0.625,0.958,0.409,0.462
C,15.566666666666665,15.8,6.1,4.8,7.8,3.7,0.7,2.2,3.8,6.6,117.0,112,0.34600000000000003,0.037000000000000005,0.006,0.779,0.411,0.333,0.0,0.333,0.55,1.0,0.333,0.0
PG,13.072727272727272,7.2,4.7,1.1,4.9,7.6,1.6,0.3,2.5,3.6,109.0,113,0.127,0.133,0.033,0.579,0.261,0.292,0.16699999999999998,0.35200000000000004,0.468,0.8,0.183,0.385
SG,24.951612903225808,7.3,5.7,2.6,5.4,3.0,2.0,0.8,2.6,4.2,108.0,113,0.17600000000000002,0.03,0.003,0.64,0.329,0.25,0.0,0.266,0.55,0.927,0.299,0.348
SG,27.78947368421053,13.0,5.4,0.8,6.1,5.1,1.6,0.4,4.3,3.3,94.0,110,0.073,0.13,0.134,0.441,0.556,0.438,0.424,0.317,0.422,0.455,0.096,0.2
C,19.402985074626862,6.2,3.8,1.7,9.8,4.4,1.7,0.9,2.7,6.5,116.0,108,0.098,0.055,0.038,0.693,0.359,0.455,0.267,0.406,0.6970000000000001,0.947,0.197,0.391
SF,29.384615384615387,7.3,2.4,1.0,4.9,3.9,1.4,0.4,2.3,4.1,107.0,117,0.125,0.057,0.021,0.604,0.355,0.371,0.308,0.383,0.545,0.894,0.221,0.38
SF,34.517857142857146,12.7,6.0,1.6,7.2,2.1,1.7,1.0,2.0,4.7,109.0,110,0.166,0.08199999999999999,0.046,0.5870000000000001,0.387,0.426,0.5529999999999999,0.35200000000000004,0.574,0.954,0.28300000000000003,0.333
PF,24.13157894736842,15.8,4.1,3.1,7.8,3.5,2.3,0.8,3.3,5.0,108.0,112,0.175,0.058,0.051,0.7290000000000001,0.467,0.36,0.273,0.269,0.594,0.969,0.319,0.316
PF,26.15625,15.5,4.0,3.0,7.6,3.2,2.3,0.8,3.3,5.2,106.0,113,0.17600000000000002,0.056,0.041,0.7190000000000001,0.464,0.364,0.25,0.27,0.593,0.968,0.322,0.324
PF,27.566666666666666,14.8,6.1,2.4,5.6,3.7,0.9,0.4,2.7,3.6,110.0,117,0.22,0.1,0.14800000000000002,0.725,0.411,0.422,0.453,0.287,0.569,0.973,0.256,0.303
C,16.185185185185187,12.1,6.2,4.5,7.0,1.9,1.0,1.3,2.6,8.0,109.0,116,0.353,0.103,0.043,0.745,0.415,0.16699999999999998,0.2,0.0,0.639,0.0,0.0,0.0
PF,13.152542372881355,3.7,2.6,2.1,7.1,2.5,0.4,0.2,1.3,3.3,119.0,111,0.064,0.039,0.034,0.552,0.467,0.333,0.25,0.39,0.7859999999999999,1.0,0.413,0.423
PG,31.542857142857148,12.8,6.1,0.6,7.1,10.4,2.4,0.2,3.5,3.5,120.0,108,0.122,0.303,0.163,0.852,0.509,0.517,0.531,0.365,0.124,0.324,0.102,0.355
PG,27.68888888888889,14.5,3.4,2.0,6.3,12.6,2.7,0.7,3.8,3.5,105.0,111,0.268,0.105,0.064,0.575,0.407,0.348,0.429,0.203,0.212,0.857,0.159,0.273
SF,14.89655172413793,7.6,0.9,2.8,5.8,5.2,3.6,0.8,2.2,5.8,103.0,111,0.129,0.034,0.009000000000000001,0.64,0.067,0.25,1.0,0.28300000000000003,0.629,1.0,0.391,0.278
SG,11.06060606060606,9.7,2.1,1.3,5.7,7.3,2.2,0.5,4.3,4.5,80.0,109,0.09,0.032,0.013,0.481,0.14300000000000002,0.0,1.0,0.188,0.16699999999999998,0.667,0.05,0.0
C,17.327868852459016,13.2,7.2,4.6,10.2,7.2,1.5,1.8,3.8,6.7,118.0,108,0.229,0.059,0.017,0.779,0.333,0.17600000000000002,0.0,0.0,0.723,0.0,0.4,0.0
C,17.742424242424242,10.9,3.5,5.3,10.0,4.7,1.5,3.9,2.2,5.1,125.0,108,0.267,0.075,0.0,0.674,0.507,0.6,0.0,0.0,0.753,0.0,0.0,0.0
SG,22.350877192982455,8.9,4.5,0.3,4.1,5.0,1.3,0.4,2.8,3.5,91.0,117,0.094,0.086,0.163,0.523,0.426,0.349,0.293,0.279,0.462,0.851,0.113,0.3670000000000001
SF,23.24,11.0,4.2,0.9,5.9,4.6,1.9,0.6,3.9,5.7,99.0,115,0.121,0.105,0.105,0.718,0.353,0.295,0.295,0.335,0.444,0.755,0.196,0.419
SF,16.418181818181818,12.9,3.9,3.6,10.6,2.5,1.5,1.4,2.7,5.5,118.0,109,0.115,0.057,0.107,0.721,0.318,0.318,0.463,0.422,0.632,0.8390000000000001,0.259,0.421
SF,23.642857142857146,11.4,3.9,1.9,5.1,3.6,2.2,0.9,1.6,4.5,112.0,110,0.193,0.086,0.114,0.391,0.7040000000000001,0.333,0.375,0.387,0.342,0.917,0.226,0.429
PF,21.10606060606061,14.1,3.3,2.8,9.0,3.4,1.1,0.6,2.6,3.8,107.0,113,0.211,0.114,0.146,0.616,0.484,0.388,0.407,0.358,0.5660000000000001,0.985,0.193,0.417
C,31.824561403508767,14.1,7.5,2.7,11.7,2.7,1.1,3.1,2.5,4.9,111.0,107,0.124,0.18,0.07200000000000001,0.725,0.302,0.387,0.403,0.35200000000000004,0.727,0.972,0.04,0.375
C,26.525,8.7,5.1,3.4,6.9,2.7,1.5,1.0,1.6,4.6,134.0,111,0.135,0.013,0.004,0.813,0.32299999999999995,0.0,0.0,0.256,0.809,1.0,0.308,0.333
SG,28.44230769230769,10.5,4.9,0.8,5.3,2.9,1.9,0.7,2.5,3.5,115.0,106,0.13699999999999998,0.032,0.043,0.662,0.451,0.368,0.462,0.399,0.6679999999999999,0.954,0.311,0.435
PF,29.015625,7.8,2.3,1.3,8.4,3.0,1.5,0.6,3.2,4.1,94.0,109,0.112,0.07400000000000001,0.042,0.54,0.313,0.345,0.387,0.339,0.5760000000000001,0.877,0.309,0.331
PF,32.5,18.1,8.2,3.5,11.0,4.6,1.2,0.5,4.5,4.2,105.0,112,0.235,0.097,0.081,0.631,0.424,0.439,0.358,0.277,0.404,0.938,0.16899999999999998,0.385
SF,26.74137931034483,9.1,3.8,1.1,5.4,2.6,1.9,0.8,2.9,4.0,95.0,115,0.134,0.085,0.103,0.54,0.365,0.319,0.35100000000000003,0.332,0.508,0.867,0.284,0.338
SG,26.35,6.8,5.4,0.3,4.1,3.5,0.6,0.3,2.2,2.8,122.0,116,0.055,0.06,0.189,0.595,0.343,0.368,0.462,0.453,0.8109999999999999,0.933,0.139,0.527
